LAT,LON,SSID,TYPE
40.752039,-73.928781,TransitWirelessWiFi,Free
40.748973,-73.937243,TransitWirelessWiFi,Free
40.756879,-73.92074,TransitWirelessWiFi,Free
40.707564,-73.803326,TransitWirelessWiFi,Free
40.729846,-73.861604,TransitWirelessWiFi,Free
40.70546,-73.810708,TransitWirelessWiFi,Free
40.734673,-73.989951,TransitWirelessWiFi,Free
40.700486,-73.807969,TransitWirelessWiFi,Free
40.718331,-73.837324,TransitWirelessWiFi,Free
40.714441,-73.831008,TransitWirelessWiFi,Free
40.746644,-73.891338,TransitWirelessWiFi,Free
40.799446,-73.968379,TransitWirelessWiFi,Free
40.702147,-73.801109,TransitWirelessWiFi,Free
40.721691,-73.844521,TransitWirelessWiFi,Free
40.755983,-73.986229,TransitWirelessWiFi,Free
40.747846,-73.946,TransitWirelessWiFi,Free
40.754672,-73.986754,TransitWirelessWiFi,Free
40.75529,-73.987495,TransitWirelessWiFi,Free
40.752769,-73.979189,TransitWirelessWiFi,Free
40.754203,-73.942836,TransitWirelessWiFi,Free
40.742626,-73.953581,TransitWirelessWiFi,Free
40.742216,-73.948916,TransitWirelessWiFi,Free
40.746554,-73.943832,TransitWirelessWiFi,Free
40.709179,-73.820574,TransitWirelessWiFi,Free
40.744065,-73.949724,TransitWirelessWiFi,Free
40.749669,-73.898453,TransitWirelessWiFi,Free
40.733106,-73.869229,TransitWirelessWiFi,Free
40.756312,-73.913333,TransitWirelessWiFi,Free
40.752885,-73.906006,TransitWirelessWiFi,Free
40.742454,-73.882017,TransitWirelessWiFi,Free
40.755839,-74.001961,TransitWirelessWiFi,Free
40.709416,-74.006571,TransitWirelessWiFi,Free
40.680829,-73.975098,TransitWirelessWiFi,Free
40.706607,-73.922913,TransitWirelessWiFi,Free
40.70722,-74.013342,TransitWirelessWiFi,Free
40.714063,-73.950275,TransitWirelessWiFi,Free
40.712792,-73.951418,TransitWirelessWiFi,Free
40.718803,-74.000193,TransitWirelessWiFi,Free
40.688246,-73.980492,TransitWirelessWiFi,Free
40.706821,-74.0091,TransitWirelessWiFi,Free
40.713051,-74.008811,TransitWirelessWiFi,Free
40.707513,-74.013783,TransitWirelessWiFi,Free
40.715478,-74.009266,TransitWirelessWiFi,Free
40.719318,-74.006886,TransitWirelessWiFi,Free
40.722854,-74.006277,TransitWirelessWiFi,Free
40.718267,-73.993753,TransitWirelessWiFi,Free
40.712582,-74.009781,TransitWirelessWiFi,Free
40.714111,-74.008585,TransitWirelessWiFi,Free
40.720824,-74.005229,TransitWirelessWiFi,Free
40.713243,-74.003401,TransitWirelessWiFi,Free
40.725915,-73.994659,TransitWirelessWiFi,Free
40.707557,-74.011862,TransitWirelessWiFi,Free
40.807566,-73.91924,TransitWirelessWiFi,Free
40.711926,-73.94067,TransitWirelessWiFi,Free
40.67705,-73.972367,TransitWirelessWiFi,Free
40.68446,-73.97689,TransitWirelessWiFi,Free
40.648939,-74.010006,TransitWirelessWiFi,Free
40.655144,-74.003549,TransitWirelessWiFi,Free
40.670847,-73.988302,TransitWirelessWiFi,Free
40.677316,-73.98311,TransitWirelessWiFi,Free
40.706476,-74.011056,TransitWirelessWiFi,Free
40.683666,-73.97881,TransitWirelessWiFi,Free
40.690635,-73.981824,TransitWirelessWiFi,Free
40.69218,-73.985942,TransitWirelessWiFi,Free
40.6941,-73.991777,TransitWirelessWiFi,Free
40.713065,-74.004131,TransitWirelessWiFi,Free
40.725297,-73.996204,TransitWirelessWiFi,Free
40.726227,-74.003739,TransitWirelessWiFi,Free
40.732338,-74.000495,TransitWirelessWiFi,Free
40.730953,-73.981628,TransitWirelessWiFi,Free
40.839306,-73.9134,TransitWirelessWiFi,Free
40.757552,-73.969055,TransitWirelessWiFi,Free
40.827905,-73.925651,TransitWirelessWiFi,Free
40.8459,-73.910136,TransitWirelessWiFi,Free
40.76266,-73.967258,TransitWirelessWiFi,Free
40.820948,-73.890549,TransitWirelessWiFi,Free
40.833773,-73.918438,TransitWirelessWiFi,Free
40.866978,-73.893509,TransitWirelessWiFi,Free
40.757107,-73.97192,TransitWirelessWiFi,Free
40.873244,-73.887138,TransitWirelessWiFi,Free
40.874811,-73.878855,TransitWirelessWiFi,Free
40.723402,-73.989938,TransitWirelessWiFi,Free
40.816104,-73.896435,TransitWirelessWiFi,Free
40.702566,-73.816859,TransitWirelessWiFi,Free
40.868072,-73.919899,TransitWirelessWiFi,Free
40.762526,-73.967967,TransitWirelessWiFi,Free
40.861296,-73.897749,TransitWirelessWiFi,Free
40.732849,-73.986122,TransitWirelessWiFi,Free
40.728251,-74.005367,TransitWirelessWiFi,Free
40.718092,-73.999892,TransitWirelessWiFi,Free
40.72028,-73.993915,TransitWirelessWiFi,Free
40.713282,-74.006978,TransitWirelessWiFi,Free
40.718383,-74.00046,TransitWirelessWiFi,Free
40.719527,-74.001775,TransitWirelessWiFi,Free
40.730328,-73.992629,TransitWirelessWiFi,Free
40.733422,-74.002906,TransitWirelessWiFi,Free
40.816109,-73.917757,TransitWirelessWiFi,Free
40.724329,-73.997702,TransitWirelessWiFi,Free
40.724635,-73.951277,TransitWirelessWiFi,Free
40.731352,-73.954449,TransitWirelessWiFi,Free
40.714565,-73.944053,TransitWirelessWiFi,Free
40.717304,-73.956872,TransitWirelessWiFi,Free
40.856093,-73.900741,TransitWirelessWiFi,Free
40.706152,-73.933147,TransitWirelessWiFi,Free
40.722301,-73.997141,TransitWirelessWiFi,Free
40.703811,-73.918425,TransitWirelessWiFi,Free
40.662742,-73.95085,TransitWirelessWiFi,Free
40.730054,-73.99107,TransitWirelessWiFi,Free
40.632836,-73.947642,TransitWirelessWiFi,Free
40.639967,-73.948411,TransitWirelessWiFi,Free
40.645098,-73.948959,TransitWirelessWiFi,Free
40.650843,-73.949575,TransitWirelessWiFi,Free
40.656652,-73.9502,TransitWirelessWiFi,Free
40.667883,-73.950683,TransitWirelessWiFi,Free
40.704817,-74.014065,TransitWirelessWiFi,Free
40.668897,-73.932942,TransitWirelessWiFi,Free
40.669399,-73.942161,TransitWirelessWiFi,Free
40.669847,-73.950466,TransitWirelessWiFi,Free
40.670682,-73.958131,TransitWirelessWiFi,Free
40.671987,-73.964375,TransitWirelessWiFi,Free
40.675235,-73.971046,TransitWirelessWiFi,Free
40.692404,-73.990151,TransitWirelessWiFi,Free
40.707739,-73.93985,TransitWirelessWiFi,Free
40.690545,-73.985065,TransitWirelessWiFi,Free
40.616622,-74.030876,TransitWirelessWiFi,Free
40.840556,-73.940133,TransitWirelessWiFi,Free
40.849505,-73.933596,TransitWirelessWiFi,Free
40.644041,-73.979678,TransitWirelessWiFi,Free
40.666271,-73.980305,TransitWirelessWiFi,Free
40.840719,-73.939561,TransitWirelessWiFi,Free
40.734789,-73.99073,TransitWirelessWiFi,Free
40.622687,-74.028398,TransitWirelessWiFi,Free
40.752287,-73.993391,TransitWirelessWiFi,Free
40.629742,-74.02551,TransitWirelessWiFi,Free
40.699814,-73.911586,TransitWirelessWiFi,Free
40.660397,-73.998091,TransitWirelessWiFi,Free
40.703087,-74.012994,TransitWirelessWiFi,Free
40.735736,-73.990568,TransitWirelessWiFi,Free
40.750373,-73.991057,TransitWirelessWiFi,Free
40.684359,-73.977666,TransitWirelessWiFi,Free
40.641362,-74.017881,TransitWirelessWiFi,Free
40.693219,-73.989998,TransitWirelessWiFi,Free
40.683263,-73.965838,TransitWirelessWiFi,Free
40.67834,-73.911946,TransitWirelessWiFi,Free
40.678822,-73.920786,TransitWirelessWiFi,Free
40.679364,-73.930729,TransitWirelessWiFi,Free
40.679921,-73.940859,TransitWirelessWiFi,Free
40.680438,-73.950426,TransitWirelessWiFi,Free
40.68138,-73.956848,TransitWirelessWiFi,Free
40.686113,-73.973946,TransitWirelessWiFi,Free
40.674542,-73.896548,TransitWirelessWiFi,Free
40.692338,-73.987342,TransitWirelessWiFi,Free
40.699337,-73.990531,TransitWirelessWiFi,Free
40.682829,-73.905249,TransitWirelessWiFi,Free
40.688764,-73.904046,TransitWirelessWiFi,Free
40.687119,-73.975375,TransitWirelessWiFi,Free
40.695602,-73.904084,TransitWirelessWiFi,Free
40.678334,-73.905316,TransitWirelessWiFi,Free
40.688484,-73.985001,TransitWirelessWiFi,Free
40.785672,-73.95107,TransitWirelessWiFi,Free
40.660365,-73.979493,TransitWirelessWiFi,Free
40.688873,-73.96007,TransitWirelessWiFi,Free
40.688089,-73.966839,TransitWirelessWiFi,Free
40.689627,-73.953522,TransitWirelessWiFi,Free
40.694568,-73.949046,TransitWirelessWiFi,Free
40.706092,-73.950308,TransitWirelessWiFi,Free
40.650782,-73.975776,TransitWirelessWiFi,Free
40.700377,-73.950234,TransitWirelessWiFi,Free
40.680303,-73.995048,TransitWirelessWiFi,Free
40.67271,-73.890358,TransitWirelessWiFi,Free
40.699743,-73.986885,TransitWirelessWiFi,Free
40.67413,-73.88075,TransitWirelessWiFi,Free
40.677044,-73.86505,TransitWirelessWiFi,Free
40.675377,-73.872106,TransitWirelessWiFi,Free
40.686145,-73.990862,TransitWirelessWiFi,Free
40.7575456796,-73.7843029637,QBPL_WIRELESS,Free
40.7330342416,-73.8098798843,QBPL_WIRELESS,Free
40.676952728,-73.7456735613,QBPL_WIRELESS,Free
40.7415435746,-73.7822740472,QBPL_WIRELESS,Free
40.7508940804,-73.861976844,QBPL_WIRELESS,Free
40.7768170122,-73.9094170178,QBPL_WIRELESS,Free
40.7408087817,-73.9216691603,QBPL_WIRELESS,Free
40.7269953701,-73.8931045649,QBPL_WIRELESS,Free
40.7577740683,-73.8288846851,QBPL_WIRELESS,Free
40.7624221297,-73.87386663,QBPL_WIRELESS,Free
40.7344862637,-73.7556816711,QBPL_WIRELESS,Free
40.7374341379,-73.8616559293,QBPL_WIRELESS,Free
40.7711255247,-73.8269158096,QBPL_WIRELESS,Free
40.6947772916,-73.7396425691,QBPL_WIRELESS,Free
40.7100345578,-73.8194531201,QBPL_WIRELESS,Free
40.7885314443,-73.8107165591,QBPL_WIRELESS,Free
40.7577118988,-73.8682002957,QBPL_WIRELESS,Free
40.7737521088,-73.796343186,QBPL_WIRELESS,Free
40.7470624208,-73.9442436779,QBPL_WIRELESS,Free
40.6599636231,-73.7399110132,QBPL_WIRELESS,Free
40.7637503163,-73.8098334843,QBPL_WIRELESS,Free
40.7221469532,-73.8430149968,QBPL_WIRELESS,Free
40.786249136,-73.8460132784,QBPL_WIRELESS,Free
40.7825312039,-73.777008814,QBPL_WIRELESS,Free
40.7351569903,-73.7170989707,QBPL_WIRELESS,Free
40.6747769261,-73.8092618174,QBPL_WIRELESS,Free
40.6925280532,-73.760108788,QBPL_WIRELESS,Free
40.5858394078,-73.8160616201,QBPL_WIRELESS,Free
40.7501960856,-73.8850693247,QBPL_WIRELESS,Free
40.757803428,-73.939309302,QBPL_WIRELESS,Free
40.5793908722,-73.8377356028,QBPL_WIRELESS,Free
40.7601255812,-73.7683619807,QBPL_WIRELESS,Free
40.7059620938,-73.7944075307,QBPL_WIRELESS,Free
40.7385814574,-73.8767587664,QBPL_WIRELESS,Free
40.758529267,-73.9186233204,QBPL_WIRELESS,Free
40.700765268,-73.8316254169,QBPL_WIRELESS,Free
40.6808618482,-73.8464887284,QBPL_WIRELESS,Free
40.7111856291,-73.8536727785,QBPL_WIRELESS,Free
40.6007321052,-73.8200526582,QBPL_WIRELESS,Free
40.6955401466,-73.7902273917,QBPL_WIRELESS,Free
40.604772113,-73.7520918927,QBPL_WIRELESS,Free
40.7051723129,-73.902572375,QBPL_WIRELESS,Free
40.6638044606,-73.8417968638,QBPL_WIRELESS,Free
40.7292529463,-73.7819089166,QBPL_WIRELESS,Free
40.745341713,-73.9097937387,QBPL_WIRELESS,Free
40.7606431176,-73.9364719875,QBPL_WIRELESS,Free
40.6869072882,-73.8248296985,QBPL_WIRELESS,Free
40.7025766648,-73.8757971089,QBPL_WIRELESS,Free
40.6803113116,-73.7916786111,QBPL_WIRELESS,Free
40.7592451348,-73.7318266816,QBPL_WIRELESS,Free
40.7201684296,-73.7623041123,QBPL_WIRELESS,Free
40.7552001994,-73.9442238947,QBPL_WIRELESS,Free
40.6728752044,-73.7705902161,QBPL_WIRELESS,Free
40.7259184856,-73.8207190696,QBPL_WIRELESS,Free
40.768225432,-73.7382294408,QBPL_WIRELESS,Free
40.7129435708,-73.8808642734,QBPL_WIRELESS,Free
40.7429309465,-73.8251699639,QBPL_WIRELESS,Free
40.7451505182,-73.7148377572,QBPL_WIRELESS,Free
40.593146783,-73.7840400286,QBPL_WIRELESS,Free
40.7273165603,-73.864502826,QBPL_WIRELESS,Free
40.7070105556,-73.7537966712,QBPL_WIRELESS,Free
40.6945465785,-73.8614464594,QBPL_WIRELESS,Free
40.7723828899,-73.9287188126,QBPL_WIRELESS,Free
40.7078731318,-73.7946780399,QBPL_WIRELESS,Free
40.7198855543,-73.7390438189,QBPL_WIRELESS,Free
40.866804429,-73.8632224848,NYPL,Free
40.8494940806,-73.9175775272,NYPL,Free
40.9004399098,-73.867942,NYPL,Free
40.8480291101,-73.8569578538,NYPL,Free
40.874379814,-73.8783843503,NYPL,Free
40.8629806052,-73.8945028865,NYPL,Free
40.6095774994,-74.1485024503,NYPL,Free
40.834515209,-73.9396745829,NYPL,Free
40.8256723738,-73.9480324189,NYPL,Free
40.9037227771,-73.9027725428,NYPL,Free
40.7959199908,-73.9678485166,NYPL,Free
40.8446740907,-73.8830446904,NYPL,Free
40.8061604421,-73.9433155984,NYPL,Free
40.8379589117,-73.9235396129,NYPL,Free
40.8115962129,-73.9243663402,NYPL,Free
40.8299928753,-73.8750206002,NYPL,Free
40.8265670801,-73.9359395884,NYPL,Free
40.8476919036,-73.786366589,NYPL,Free
40.5340582999,-74.193236856,NYPL,Free
40.8803222773,-73.9079833715,NYPL,Free
40.7568571776,-73.9726324717,NYPL,Free
40.7289209029,-73.9877837339,NYPL,Free
40.8478700412,-73.9338659131,NYPL,Free
40.7540678756,-73.9735677168,NYPL,Free
40.7240963609,-73.995698993,NYPL,Free
40.8030181614,-73.9348475633,NYPL,Free
40.7735069912,-73.9845468452,NYPL,Free
40.7942156129,-73.9434510796,NYPL,Free
40.8862733773,-73.9146700146,NYPL,Free
40.7736058206,-73.9564040689,NYPL,Free
40.8888948958,-73.8408371279,NYPL,Free
40.7848346367,-73.9774521159,NYPL,Free
40.8411050877,-73.8466216551,NYPL,Free
40.8657295413,-73.9258533096,NYPL,Free
40.8137734314,-73.9570639052,NYPL,Free
40.7742029054,-73.9844546501,NYPL,Free
40.7649150063,-73.9595499458,NYPL,Free
40.7706525435,-73.951341694,NYPL,Free
40.7621860177,-73.9693817047,NYPL,Free
40.8186874033,-73.8941356433,NYPL,Free
40.6345089423,-74.1148218734,NYPL,Free
40.7380871204,-73.9820488896,NYPL,Free
40.7144564597,-73.9885372705,NYPL,Free
40.8146886279,-73.9409529891,NYPL,Free
40.8440019118,-73.9100871445,NYPL,Free
40.870139703,-73.8450642753,NYPL,Free
40.5719318484,-74.1119581475,NYPL,Free
40.8910850654,-73.8595812441,NYPL,Free
40.7438226298,-73.9799076544,NYPL,Free
40.8206415647,-73.9046288601,NYPL,Free
40.7404654556,-73.9933569112,NYPL,Free
40.8690393929,-73.9011937916,NYPL,Free
40.8337362974,-73.8583552177,NYPL,Free
40.802979882,-73.9535307443,NYPL,Free
40.5524232628,-74.1511116431,NYPL,Free
40.7136065153,-74.0078616724,NYPL,Free
40.7193972838,-73.9796055959,NYPL,Free
40.7859597986,-73.9518056716,NYPL,Free
40.7346055255,-73.9991692843,NYPL,Free
40.7649346184,-73.9912208178,NYPL,Free
40.6262376099,-74.0778460903,NYPL,Free
40.7273073125,-73.9804076673,NYPL,Free
40.7481246964,-73.9830630999,NYPL,Free
40.7612533724,-73.9501658898,NYPL,Free
40.8266092254,-73.8501814579,NYPL,Free
40.8460423249,-73.8983402556,NYPL,Free
40.8229035714,-73.8190936365,NYPL,Free
40.7518915617,-73.9816985108,NYPL,Free
40.8705019246,-73.8286579311,NYPL,Free
40.7133330705,-73.9964898664,NYPL,Free
40.5095311239,-74.2441067083,NYPL,Free
40.8543469054,-73.8878894289,NYPL,Free
40.590391336,-74.1011372894,NYPL,Free
40.5665301462,-74.1385338765,NYPL,Free
40.7531840458,-73.9821581041,NYPL,Free
40.7299829146,-74.0053310145,NYPL,Free
40.8060908156,-73.9647620603,NYPL,Free
40.8148204092,-73.941197673,NYPL,Free
40.8574218942,-73.9093163503,NYPL,Free
40.8548777848,-73.8641435801,NYPL,Free
40.5958181468,-74.0629804652,NYPL,Free
40.7445100483,-73.9959597161,NYPL,Free
40.6417853679,-74.0766457652,NYPL,Free
40.8442926727,-73.8278899073,NYPL,Free
40.8827597562,-73.8939224115,NYPL,Free
40.8265919268,-73.9175826513,NYPL,Free
40.7154881544,-74.0162138359,NYPL,Free
40.8312637226,-73.9017889765,NYPL,Free
40.8187093522,-73.8628899561,NYPL,Free
40.637585616,-74.1311046151,NYPL,Free
40.834815,-73.940477,LinkNYC Free Wi-Fi,Free
40.730249,-73.986348,LinkNYC Free Wi-Fi,Free
40.717243,-74.001743,LinkNYC Free Wi-Fi,Free
40.716033,-74.00257,LinkNYC Free Wi-Fi,Free
40.731157,-73.985928,LinkNYC Free Wi-Fi,Free
40.730539,-73.986394,LinkNYC Free Wi-Fi,Free
40.79933,-73.96823,LinkNYC Free Wi-Fi,Free
40.730881,-73.985882,LinkNYC Free Wi-Fi,Free
40.72848,-73.987875,LinkNYC Free Wi-Fi,Free
40.786896,-73.977483,LinkNYC Free Wi-Fi,Free
40.72824,-73.987837,LinkNYC Free Wi-Fi,Free
40.728027,-73.987965,LinkNYC Free Wi-Fi,Free
40.726049,-73.989403,LinkNYC Free Wi-Fi,Free
40.725641,-73.989698,LinkNYC Free Wi-Fi,Free
40.721716,-73.993343,LinkNYC Free Wi-Fi,Free
40.798954,-73.968326,LinkNYC Free Wi-Fi,Free
